region,kjønn,alder,år,statistikkvariabel,"07459: Befolkning, etter region, kjønn, alder, år og statistikkvariabel"
3107 Fredrikstad,1 Menn,F100G5+ 100 år eller eldre,2025,Personer,3
3110 Hvaler,2 Kvinner,F00-04 0-4 år,2025,Personer,72
3110 Hvaler,2 Kvinner,F05-09 5-9 år,2025,Personer,71
3110 Hvaler,2 Kvinner,F10-14 10-14 år,2025,Personer,112
3110 Hvaler,2 Kvinner,F15-19 15-19 år,2025,Personer,127
3110 Hvaler,2 Kvinner,F20-24 20-24 år,2025,Personer,80
3110 Hvaler,2 Kvinner,F25-29 25-29 år,2025,Personer,72
3110 Hvaler,2 Kvinner,F30-34 30-34 år,2025,Personer,82
3110 Hvaler,2 Kvinner,F35-39 35-39 år,2025,Personer,96
3110 Hvaler,2 Kvinner,F40-44 40-44 år,2025,Personer,135
3110 Hvaler,2 Kvinner,F45-49 45-49 år,2025,Personer,146
3110 Hvaler,2 Kvinner,F50-54 50-54 år,2025,Personer,176
3110 Hvaler,2 Kvinner,F55-59 55-59 år,2025,Personer,187
3110 Hvaler,2 Kvinner,F60-64 60-64 år,2025,Personer,224
3110 Hvaler,2 Kvinner,F65-69 65-69 år,2025,Personer,251
3110 Hvaler,2 Kvinner,F70-74 70-74 år,2025,Personer,222
3110 Hvaler,2 Kvinner,F75-79 75-79 år,2025,Personer,173
3110 Hvaler,2 Kvinner,F80-84 80-84 år,2025,Personer,82
3110 Hvaler,2 Kvinner,F85-89 85-89 år,2025,Personer,36
3110 Hvaler,2 Kvinner,F90-94 90-94 år,2025,Personer,8
3110 Hvaler,2 Kvinner,F95-99 95-99 år,2025,Personer,9
3110 Hvaler,2 Kvinner,F100G5+ 100 år eller eldre,2025,Personer,0
3110 Hvaler,1 Menn,F00-04 0-4 år,2025,Personer,88
3110 Hvaler,1 Menn,F05-09 5-9 år,2025,Personer,86
3110 Hvaler,1 Menn,F10-14 10-14 år,2025,Personer,115
3110 Hvaler,1 Menn,F15-19 15-19 år,2025,Personer,139
3110 Hvaler,1 Menn,F20-24 20-24 år,2025,Personer,99
3110 Hvaler,1 Menn,F25-29 25-29 år,2025,Personer,74
3110 Hvaler,1 Menn,F30-34 30-34 år,2025,Personer,100
3110 Hvaler,1 Menn,F35-39 35-39 år,2025,Personer,88
3110 Hvaler,1 Menn,F40-44 40-44 år,2025,Personer,98
3110 Hvaler,1 Menn,F45-49 45-49 år,2025,Personer,148
3110 Hvaler,1 Menn,F50-54 50-54 år,2025,Personer,169
3110 Hvaler,1 Menn,F55-59 55-59 år,2025,Personer,196
3110 Hvaler,1 Menn,F60-64 60-64 år,2025,Personer,211
3110 Hvaler,1 Menn,F65-69 65-69 år,2025,Personer,243
3110 Hvaler,1 Menn,F70-74 70-74 år,2025,Personer,217
3110 Hvaler,1 Menn,F75-79 75-79 år,2025,Personer,195
3110 Hvaler,1 Menn,F80-84 80-84 år,2025,Personer,91
3110 Hvaler,1 Menn,F85-89 85-89 år,2025,Personer,46
3110 Hvaler,1 Menn,F90-94 90-94 år,2025,Personer,10
3110 Hvaler,1 Menn,F95-99 95-99 år,2025,Personer,2
3110 Hvaler,1 Menn,F100G5+ 100 år eller eldre,2025,Personer,1
3112 Råde,2 Kvinner,F00-04 0-4 år,2025,Personer,162
3112 Råde,2 Kvinner,F05-09 5-9 år,2025,Personer,192
3112 Råde,2 Kvinner,F10-14 10-14 år,2025,Personer,201
3112 Råde,2 Kvinner,F15-19 15-19 år,2025,Personer,196
3112 Råde,2 Kvinner,F20-24 20-24 år,2025,Personer,206
3112 Råde,2 Kvinner,F25-29 25-29 år,2025,Personer,176
3112 Råde,2 Kvinner,F30-34 30-34 år,2025,Personer,224
3112 Råde,2 Kvinner,F35-39 35-39 år,2025,Personer,247
3112 Råde,2 Kvinner,F40-44 40-44 år,2025,Personer,223
3112 Råde,2 Kvinner,F45-49 45-49 år,2025,Personer,238
3112 Råde,2 Kvinner,F50-54 50-54 år,2025,Personer,300
3112 Råde,2 Kvinner,F55-59 55-59 år,2025,Personer,260
3112 Råde,2 Kvinner,F60-64 60-64 år,2025,Personer,232
3112 Råde,2 Kvinner,F65-69 65-69 år,2025,Personer,249
3112 Råde,2 Kvinner,F70-74 70-74 år,2025,Personer,205
3112 Råde,2 Kvinner,F75-79 75-79 år,2025,Personer,216
3112 Råde,2 Kvinner,F80-84 80-84 år,2025,Personer,124
